    0.141101295524986892E+02   -0.225456930900802144E+01    0.328909658144308478E+08
    0.193202680168489005E+01   -0.172594654756505017E+01    0.328909662075949833E+08
    0.268806439022593153E+02   -0.238281555832755476E+01    0.328909665995311253E+08
    0.939911396809038635E+01   -0.214699389031266952E+01    0.328909668672004528E+08
    0.272650405335290280E+01   -0.174537134405980154E+01    0.328909669755594805E+08
    0.475056474478801682E+01   -0.196860974081269013E+01    0.328909671631744429E+08
    0.209020868519978755E+02   -0.233753405034714534E+01    0.328909672928898409E+08
    0.424800949304314646E+01   -0.193773300022982742E+01    0.328909674119010009E+08
    0.226607372939794827E+01   -0.176456439937310527E+01    0.328909674353606291E+08
    0.291786447110137015E+01   -0.183585149280157367E+01    0.328909674454446584E+08
    0.233414425982804907E+02   -0.235465052126141838E+01    0.328909674798796885E+08
    0.201060622310722401E+02   -0.232705344595147867E+01    0.328909675077528618E+08
    0.206171424118378006E+02   -0.233183560825595571E+01    0.328909675536055006E+08
    0.218607424445764948E+02   -0.234238253460543611E+01    0.328909676143089049E+08
    0.705350772810238880E+01   -0.206966913242486417E+01    0.328909676220805794E+08
    0.224970256610031214E+02   -0.234398332140052679E+01    0.328909677383045815E+08
    0.188035278160798249E+02   -0.230962366147487597E+01    0.328909678034038693E+08
    0.191170993360603276E+02   -0.227327947099000438E+01    0.328909678681884371E+08
    0.226355700070195187E+01   -0.170941321156921422E+01    0.328909679206592515E+08
    0.196447256153141012E+02   -0.228309830396246438E+01    0.328909679432631023E+08
    0.185157472438764170E+01   -0.167549902185964550E+01    0.328909680857982226E+08
    0.187278516713458631E+01   -0.167682724548734541E+01    0.328909680888744183E+08
    0.746838078976758801E+01   -0.208180915594343618E+01    0.328909681250198223E+08
    0.935664105372391042E+01   -0.206266892215312936E+01    0.328909681281035021E+08
    0.134371105008135903E+02   -0.222878515384938680E+01    0.328909681450899057E+08
    0.201094349215053114E+02   -0.229449242508272766E+01    0.328909681968609467E+08
    0.154089055027509580E+02   -0.226071237322069418E+01    0.328909682350926250E+08
    0.133965892809143323E+02   -0.216595340208604448E+01    0.328909682517076172E+08
    0.607642533544425678E+01   -0.202780911817872500E+01    0.328909682531125993E+08
    0.207585904093553282E+02   -0.232044609053850870E+01    0.328909682926987335E+08
    0.241601666677290350E+01   -0.172552598382409972E+01    0.328909683640053310E+08
    0.109538655681147326E+02   -0.210812253979823838E+01    0.328909683723204546E+08
    0.178577322830953555E+02   -0.229152111472258557E+01    0.328909684688152745E+08
    0.204658135546629749E+01   -0.169452422457701468E+01    0.328909684770786576E+08
    0.487094278582947915E+01   -0.196846117038873247E+01    0.328909685109098181E+08
    0.202739650226534991E+02   -0.230796916284571729E+01    0.328909685173648521E+08
    0.796486556878815932E+01   -0.202019404179560969E+01    0.328909685710697398E+08
    0.537319793257534339E+01   -0.199387424946758429E+01    0.328909685933296531E+08
    0.100014764626879877E+02   -0.215316926953538967E+01    0.328909686086056493E+08
    0.774571519221782001E+01   -0.201296470077136025E+01    0.328909686560186669E+08
    0.195199886979522965E+02   -0.229223353077027170E+01    0.328909686632330231E+08
    0.851062548312387612E+01   -0.211218700766991097E+01    0.328909686669305712E+08
    0.285493517414438847E+01   -0.182228250848767193E+01    0.328909687042951435E+08
    0.607517407227477158E+01   -0.202534246444702148E+01    0.328909687084224187E+08
    0.195332857787070324E+02   -0.229543471976404145E+01    0.328909687270666324E+08
    0.121696982008956169E+02   -0.214037388567463482E+01    0.328909687390097976E+08
    0.193946570824139783E+02   -0.229801553809042680E+01    0.328909687804367207E+08
    0.197023097888446252E+01   -0.170455038724636898E+01    0.328909688034064919E+08
