    0.528164274728040141E+03   -0.176827907562255859E-01   -0.199834625757358551E+11   -0.668461146725127175E+01    1
    0.505063396290078970E+03   -0.409924983978271484E-01   -0.168092687501435223E+11   -0.668586146725130259E+01    1
    0.777195199455845795E+03   -0.179072380065917969E+00   -0.121961189751802578E+11   -0.668711146725128192E+01    1
    0.864159700459836927E+03   -0.224587678909301758E+00   -0.106087424948829613E+11   -0.668836146725129232E+01    1
    0.467837174973203503E+03   -0.192713737487792969E+00   -0.680029547058253384E+10   -0.668961146725132405E+01    1
    0.280119273829449980E+03   -0.152065038681030273E+00   -0.505937746697865868E+10   -0.669086146725131048E+01    1
    0.114272862299445350E+03   -0.108108282089233398E+00   -0.259818062382792711E+10   -0.669211146725130490E+01    1
    0.283998530250217186E+03   -0.312174081802368164E+00   -0.214821110471037388E+10   -0.669336146725130110E+01    1
    0.513778553174480976E+03   -0.481646776199340820E+00   -0.158307670431510139E+10   -0.669461146725131684E+01    1
    0.964275104669555958E+02   -0.195040225982666016E+00   -0.134894898102559114E+10   -0.669586146725134768E+01    1
    0.107326479133386158E+03   -0.229997634887695312E+00   -0.124090107030322194E+10   -0.669711146725131989E+01    1
    0.694176081401266515E+03   -0.598753452301025391E+00   -0.115714511523271799E+10   -0.669836146725130810E+01    1
    0.142637022189557342E+03   -0.307029724121093750E+00   -0.108790706303073978E+10   -0.669961146725131229E+01    1
    0.480982091218993844E+03   -0.545969724655151367E+00   -0.104783256427890623E+10   -0.670086146725129783E+01    1
    0.379651536093610531E+02   -0.692751407623291016E-01   -0.104114331671936727E+10   -0.670211146725128071E+01    1
    0.771512857762113242E+02   -0.207065105438232422E+00   -0.100098436738506556E+10   -0.670336146725128135E+01    1
    0.109578818872213049E+03   -0.353383541107177734E+00   -0.636910781275875568E+09   -0.670461146725132195E+01    1
    0.113133383160090318E+03   -0.363994121551513672E+00   -0.620735381123835802E+09   -0.670586146725133059E+01    1
    0.771924864670831084E+03   -0.760248422622680664E+00   -0.546300592872126222E+09   -0.670711146725132412E+01    1
    0.153065738673338618E+02   -0.165448188781738281E-01   -0.540973842721438050E+09   -0.670836146725130700E+01    1
    0.605741376374358538E+03   -0.738424539566040039E+00   -0.473161465464598715E+09   -0.670961146725127477E+01    1
    0.417747044826411752E+03   -0.678150415420532227E+00   -0.439645477274315119E+09   -0.671086146725129939E+01    1
    0.152466981462092548E+03   -0.486732721328735352E+00   -0.427721677960412323E+09   -0.671211146725129915E+01    1
    0.368132598438093737E+03   -0.685577869415283203E+00   -0.366951190292738259E+09   -0.671336146725130778E+01    1
    0.284464300880778978E+03   -0.636153697967529297E+00   -0.364207377915619969E+09   -0.671461146725133595E+01    1
    0.226577168673423124E+02   -0.156557559967041016E+00   -0.360697126281101286E+09   -0.671586146725132238E+01    1
    0.208599511825446484E+03   -0.586324930191040039E+00   -0.342421237928036273E+09   -0.671711146725131325E+01    1
    0.807928543150510336E+03   -0.901759147644042969E+00   -0.263922323742218465E+09   -0.671836146725132011E+01    1
    0.572188222916692126E+02   -0.417257785797119141E+00   -0.212227865886096627E+09   -0.671961146725132163E+01    1
    0.656609067984442731E+03   -0.901307344436645508E+00   -0.207579462304489702E+09   -0.672086146725130096E+01    1
    0.125028271830671514E+03   -0.577210187911987305E+00   -0.200197496538926065E+09   -0.672211146725129360E+01    1
    0.311645633287238262E+02   -0.315887689590454102E+00   -0.194628937019138008E+09   -0.672336146725128625E+01    1
    0.124288049848996266E+03   -0.590777158737182617E+00   -0.182746743726781607E+09   -0.672461146725131353E+01    1
    0.539793688480514149E+02   -0.433761358261108398E+00   -0.178302908546844542E+09   -0.672586146725135592E+01    1
    0.576861352089544255E+01   -0.183594226837158203E-01   -0.176775184852863729E+09   -0.672711146725134057E+01    1
    0.142169215444468655E+02   -0.209635019302368164E+00   -0.149036180781525761E+09   -0.672836146725132078E+01    1
