    0.995504389958219660E+00   -0.109233570085161206E+13   -0.668461146725127175E+01    1
    0.985983534077088053E+00   -0.108188822695717505E+13   -0.668586146725130259E+01    1
    0.970221478958832706E+00   -0.106459212941547339E+13   -0.668711146725128192E+01    1
    0.948155040812636241E+00   -0.104037807627922522E+13   -0.668836146725129232E+01    1
    0.908729655307768502E+00   -0.997115622236420776E+12   -0.668961146725132405E+01    1
    0.886526168807896253E+00   -0.972751188493931885E+12   -0.669086146725131048E+01    1
    0.877151446710636495E+00   -0.962464075259962891E+12   -0.669211146725130490E+01    1
    0.840406223253341245E+00   -0.922142641629747559E+12   -0.669336146725130110E+01    1
    0.816897914919805124E+00   -0.896346402885780273E+12   -0.669461146725131684E+01    1
    0.813123900838546243E+00   -0.892205085689800171E+12   -0.669586146725134768E+01    1
    0.793103998034516255E+00   -0.870236762102227539E+12   -0.669711146725131989E+01    1
    0.786990752602852117E+00   -0.863528550495232666E+12   -0.669836146725130810E+01    1
    0.774870165951264567E+00   -0.850228339200717407E+12   -0.669961146725131229E+01    1
    0.768338376345501839E+00   -0.843060849723339966E+12   -0.670086146725129783E+01    1
    0.758119201270479159E+00   -0.831847104231658203E+12   -0.670211146725128071E+01    1
    0.717372689045007395E+00   -0.787134987741702393E+12   -0.670336146725128135E+01    1
    0.700155041863505856E+00   -0.768241657763404419E+12   -0.670461146725132195E+01    1
    0.669958677419137616E+00   -0.735106481059053101E+12   -0.670586146725133059E+01    1
    0.668251536816586666E+00   -0.733233195984359009E+12   -0.670711146725132412E+01    1
    0.666741797668442659E+00   -0.731576524135684814E+12   -0.670836146725130700E+01    1
    0.654924438523355024E+00   -0.718609062022051880E+12   -0.670961146725127477E+01    1
    0.653912218145116242E+00   -0.717498329194298218E+12   -0.671086146725129939E+01    1
    0.630811291939746721E+00   -0.692149151186558350E+12   -0.671211146725129915E+01    1
    0.618711304940839257E+00   -0.678871558954170410E+12   -0.671336146725130778E+01    1
    0.612884879797350623E+00   -0.672478090013451660E+12   -0.671461146725133595E+01    1
    0.591246320125889957E+00   -0.648733608941136353E+12   -0.671586146725132238E+01    1
    0.587331089091340464E+00   -0.644437337877565063E+12   -0.671711146725131325E+01    1
    0.520411469972487328E+00   -0.571004962731210571E+12   -0.671836146725132011E+01    1
    0.485620019680520376E+00   -0.532827560090249878E+12   -0.671961146725132163E+01    1
    0.480068162507957086E+00   -0.526735390171260681E+12   -0.672086146725130096E+01    1
    0.476208952773916949E+00   -0.522500598266408936E+12   -0.672211146725129360E+01    1
    0.468997054824397741E+00   -0.514586831823894958E+12   -0.672336146725128625E+01    1
    0.468260626976349070E+00   -0.513778734194898376E+12   -0.672461146725131353E+01    1
    0.401030962946010650E+00   -0.440006265755963928E+12   -0.672586146725135592E+01    1
    0.399705058923470358E+00   -0.438551325446938538E+12   -0.672711146725134057E+01    1
    0.396030695483813422E+00   -0.434519375094849426E+12   -0.672836146725132078E+01    1
    0.394049062588481380E+00   -0.432344890972947754E+12   -0.672961146725133741E+01    1
    0.392875629381215563E+00   -0.431057260052703735E+12   -0.673086146725131940E+01    1
    0.384680713031514188E+00   -0.422064821024713745E+12   -0.673211146725131560E+01    1
    0.383580975666326596E+00   -0.420858058230603455E+12   -0.673336146725134910E+01    1
    0.358957951538062092E+00   -0.393838752483473877E+12   -0.673461146725132576E+01    1
